iter	Recall	Logloss
0	0.8699186992	0.4356409022
1	0.9349593496	0.3114875244
2	0.9430894309	0.2623198201
3	0.9593495935	0.2204508019
4	0.9674796748	0.2115664737
5	0.9593495935	0.2064712463
6	0.9593495935	0.1764845461
7	0.9593495935	0.1632790531
8	0.9593495935	0.161061558
9	0.9593495935	0.149909611
10	0.9593495935	0.1498234453
11	0.9593495935	0.1414820987
12	0.9837398374	0.1116964949
13	0.9837398374	0.1057059481
14	0.9918699187	0.09924767726
15	0.9918699187	0.09866816996
16	1	0.08957042088
17	1	0.07991950301
18	1	0.07160958755
19	1	0.06362749394
20	1	0.06183461316
21	1	0.06145137256
22	1	0.05646569299
23	1	0.05200546329
24	1	0.05116922175
25	1	0.04494294017
26	1	0.04141927299
27	1	0.03720980434
28	1	0.03474224491
29	1	0.03228045607
30	1	0.03127383005
31	1	0.03127380248
32	1	0.02930065387
33	1	0.02903996549
34	1	0.02748422306
35	1	0.0266813295
36	1	0.02552520508
37	1	0.02447885892
38	1	0.02362551528
39	1	0.0231845698
40	1	0.02249638265
41	1	0.02166604861
42	1	0.02158786591
43	1	0.02135573106
44	1	0.02079391485
45	1	0.02024187734
46	1	0.02003556994
47	1	0.01947285705
48	1	0.01880291084
49	1	0.0181093101
50	1	0.01737060008
51	1	0.01702933679
52	1	0.01672037187
53	1	0.01634378746
54	1	0.01593740681
55	1	0.01552890868
56	1	0.01535631855
57	1	0.01512360311
58	1	0.01470294824
59	1	0.01411960504
60	1	0.01396790602
61	1	0.01356544533
62	1	0.01309185992
63	1	0.01297618391
64	1	0.01276443548
65	1	0.01249859597
66	1	0.01239126958
67	1	0.01212800637
68	1	0.01165253638
69	1	0.01149811527
70	1	0.01145966246
71	1	0.01145960022
72	1	0.01119904993
73	1	0.01058854296
74	1	0.01013040505
75	1	0.009941604976
76	1	0.009871013293
77	1	0.009809468453
78	1	0.009658984062
79	1	0.009508840601
80	1	0.009358026184
81	1	0.009357945704
82	1	0.009299650418
83	1	0.009106979809
84	1	0.008963651828
85	1	0.008891178834
86	1	0.008782620653
87	1	0.008611877956
88	1	0.008524163164
89	1	0.008439090962
90	1	0.008326747865
91	1	0.008243851948
92	1	0.008161047004
93	1	0.008073430565
94	1	0.008073273192
95	1	0.007863232491
96	1	0.007739986867
97	1	0.007615193503
98	1	0.007533713455
99	1	0.007532627564
100	1	0.007387635072
101	1	0.007223119523
102	1	0.007105482934
103	1	0.007105482934
104	1	0.007063688999
105	1	0.00706361109
106	1	0.007018978285
107	1	0.006919886401
108	1	0.006847902625
109	1	0.006810337466
110	1	0.006759034932
111	1	0.006758939238
112	1	0.006741952166
113	1	0.006741947856
114	1	0.006636334645
115	1	0.006636270152
116	1	0.006636203724
117	1	0.006594240755
118	1	0.00659352121
119	1	0.006540810584
120	1	0.006347097637
121	1	0.006241016292
122	1	0.006240972761
123	1	0.006240695293
124	1	0.006231415248
125	1	0.006230681343
126	1	0.00615136597
127	1	0.006095683665
128	1	0.006008548282
129	1	0.006008496658
130	1	0.005928244613
131	1	0.005928069484
132	1	0.005928015069
133	1	0.005927852196
134	1	0.005803673664
135	1	0.005754999737
136	1	0.005754978899
137	1	0.005699462273
138	1	0.005699382978
139	1	0.005662223283
140	1	0.005556781729
141	1	0.005515163306
142	1	0.005477039743
143	1	0.005408787109
144	1	0.005408608148
145	1	0.005408582852
146	1	0.005408422166
147	1	0.005406209698
148	1	0.005406148375
149	1	0.005406099653
150	1	0.005350749515
151	1	0.005350585228
152	1	0.005278196619
153	1	0.005248046324
154	1	0.005247972376
155	1	0.005247954712
156	1	0.005166418115
157	1	0.005166379204
158	1	0.005165999805
159	1	0.005165912961
160	1	0.005123395021
161	1	0.005097575081
162	1	0.005078333008
163	1	0.005077907584
164	1	0.005077833258
165	1	0.00500322432
166	1	0.004998442339
167	1	0.004998409524
168	1	0.004954053917
169	1	0.00488266235
170	1	0.004842743098
171	1	0.004842673645
172	1	0.004842535303
173	1	0.004778693981
174	1	0.004778685157
175	1	0.004778599808
176	1	0.00477855729
177	1	0.00477771677
178	1	0.00477746883
179	1	0.004777447257
180	1	0.004777435644
181	1	0.00477743204
182	1	0.004777420153
183	1	0.004744290208
184	1	0.004715642617
185	1	0.004715556624
186	1	0.004715486673
187	1	0.004671043444
188	1	0.004670996805
189	1	0.004670993545
190	1	0.004670963885
191	1	0.004670919584
192	1	0.004670915863
193	1	0.004670906616
194	1	0.004600243262
195	1	0.004559986981
196	1	0.004559818141
197	1	0.004559771582
198	1	0.004559459084
199	1	0.004559403316
