iter	Passed	Remaining
0	23	4773
1	53	5299
2	78	5129
3	104	5096
4	126	4939
5	149	4829
6	172	4759
7	193	4651
8	214	4555
9	238	4533
10	251	4325
11	272	4270
12	298	4295
13	323	4299
14	347	4288
15	363	4182
16	393	4234
17	420	4249
18	441	4207
19	461	4154
20	482	4109
21	503	4077
22	524	4039
23	547	4012
24	569	3989
25	591	3958
26	612	3924
27	634	3896
28	655	3866
29	678	3845
30	699	3814
31	720	3784
32	743	3762
33	764	3731
34	785	3703
35	807	3677
36	826	3641
37	846	3608
38	866	3578
39	887	3549
40	908	3523
41	933	3512
42	954	3483
43	975	3458
44	998	3439
45	1020	3414
46	1046	3406
47	1067	3381
48	1089	3357
49	1109	3328
50	1131	3305
51	1152	3279
52	1174	3257
53	1195	3232
54	1215	3204
55	1237	3181
56	1258	3156
57	1278	3131
58	1300	3108
59	1322	3086
60	1344	3063
61	1366	3041
62	1385	3013
63	1405	2986
64	1426	2962
65	1447	2939
66	1469	2916
67	1489	2891
68	1510	2868
69	1532	2846
70	1554	2824
71	1576	2801
72	1595	2776
73	1618	2756
74	1639	2732
75	1662	2712
76	1683	2689
77	1704	2665
78	1727	2645
79	1747	2621
80	1768	2598
81	1788	2574
82	1809	2551
83	1831	2528
84	1852	2506
85	1873	2483
86	1898	2465
87	1918	2442
88	1941	2421
89	1963	2400
90	1986	2379
91	2008	2358
92	2030	2336
93	2051	2313
94	2074	2292
95	2095	2270
96	2116	2247
97	2138	2225
98	2159	2203
99	2182	2182
100	2203	2159
101	2225	2138
102	2245	2114
103	2266	2091
104	2287	2070
105	2310	2048
106	2334	2029
107	2358	2009
108	2382	1988
109	2407	1969
110	2436	1953
111	2460	1933
112	2482	1911
113	2505	1889
114	2527	1868
115	2548	1845
116	2571	1824
117	2591	1801
118	2614	1779
119	2636	1757
120	2657	1735
121	2678	1712
122	2703	1692
123	2724	1669
124	2744	1646
125	2763	1622
126	2785	1601
127	2805	1578
128	2828	1556
129	2849	1534
130	2871	1512
131	2891	1489
132	2910	1466
133	2931	1443
134	2954	1422
135	2977	1401
136	3003	1380
137	3024	1358
138	3043	1335
139	3062	1312
140	3085	1291
141	3108	1269
142	3130	1247
143	3153	1226
144	3175	1204
145	3196	1182
146	3215	1159
147	3235	1136
148	3258	1115
149	3276	1092
150	3301	1071
151	3323	1049
152	3344	1027
153	3365	1005
154	3385	982
155	3407	961
156	3428	938
157	3449	916
158	3468	894
159	3489	872
160	3509	850
161	3530	828
162	3550	805
163	3571	783
164	3593	762
165	3613	740
166	3636	718
167	3657	696
168	3677	674
169	3700	653
170	3721	631
171	3742	609
172	3766	587
173	3788	566
174	3810	544
175	3830	522
176	3850	500
177	3869	478
178	3890	456
179	3913	434
180	3933	412
181	3954	391
182	3980	369
183	4002	348
184	4023	326
185	4047	304
186	4067	282
187	4089	261
188	4109	239
189	4129	217
190	4149	195
191	4171	173
192	4192	152
193	4213	130
194	4232	108
195	4253	86
196	4273	65
197	4295	43
198	4315	21
199	4338	0
