iter	Logloss	Recall
0	0.5686784264	0.7835051546
1	0.4721310315	0.9072164948
2	0.3912880843	0.9278350515
3	0.3725507477	0.9175257732
4	0.3353421586	0.9278350515
5	0.2952421618	0.9381443299
6	0.2760936599	0.9278350515
7	0.2525169149	0.9381443299
8	0.2463464079	0.9484536082
9	0.2346773359	0.9484536082
10	0.2332513725	0.9587628866
11	0.2180994954	0.9793814433
12	0.2116219768	0.9793814433
13	0.201842231	0.9793814433
14	0.1990663127	0.9793814433
15	0.1965599933	0.9793814433
16	0.1922694986	0.9793814433
17	0.1815820294	0.9793814433
18	0.1754397907	0.9793814433
19	0.1684252951	0.9793814433
20	0.1577944774	0.9793814433
21	0.1537026526	0.9793814433
22	0.149704974	0.9793814433
23	0.1445271008	0.9793814433
24	0.1391701727	0.9793814433
25	0.138188738	0.9793814433
26	0.1316536722	0.9896907216
27	0.1269545311	0.9793814433
28	0.1265582156	0.9793814433
29	0.1241364519	0.9793814433
30	0.1207623978	0.9793814433
31	0.1194092374	0.9793814433
32	0.1175226531	0.9793814433
33	0.1146901738	0.9793814433
34	0.1100562282	0.9793814433
35	0.1097924445	0.9793814433
36	0.1089483977	0.9793814433
37	0.1085627644	0.9793814433
38	0.1031043251	0.9896907216
