iter	Logloss	Recall
0	0.5799593411	0.8383838384
1	0.4991561483	0.9494949495
2	0.4223455663	0.9393939394
3	0.3747143311	0.9494949495
4	0.3256396462	0.9494949495
5	0.2938880566	0.9696969697
6	0.2763244934	0.9696969697
7	0.2600025578	0.9595959596
8	0.2461882502	0.9595959596
9	0.2324304491	0.9696969697
10	0.2152542174	0.9595959596
11	0.2127535235	0.9595959596
12	0.2125807553	0.9696969697
13	0.2110891556	0.9595959596
14	0.2042239537	0.9696969697
15	0.1956665925	0.9797979798
16	0.1873846666	0.9797979798
17	0.1822970396	0.9898989899
18	0.1730163445	0.9797979798
19	0.1673276803	0.9696969697
20	0.1664358851	0.9696969697
21	0.1599376151	0.9797979798
22	0.157639949	0.9898989899
23	0.1540700229	0.9898989899
24	0.1513389601	0.9898989899
25	0.1513075787	0.9898989899
26	0.1439567818	1
27	0.1439299648	1
28	0.141354088	1
29	0.1339098007	1
30	0.1250439919	1
31	0.1231406119	1
32	0.1209445243	1
33	0.1165382886	1
34	0.10994805	1
35	0.1050601203	1
36	0.1034731597	1
37	0.09307124357	1
38	0.09151666057	1
39	0.08541831745	1
40	0.082242038	1
41	0.07947023829	1
42	0.07836060219	1
