iter	Logloss	Recall
0	0.5649516755	0.9306930693
1	0.4701910843	0.9405940594
2	0.4149845415	0.9504950495
3	0.3554903557	0.9405940594
4	0.3088007668	0.9405940594
5	0.2645588923	0.9801980198
6	0.2621755521	0.9801980198
7	0.2380548135	0.9801980198
8	0.2352986501	0.9603960396
9	0.2172805809	0.9702970297
10	0.2082211021	0.9801980198
11	0.1985102901	0.9801980198
12	0.1855413879	0.9801980198
13	0.1719740289	0.9801980198
14	0.1554704876	0.9801980198
15	0.142410708	0.9900990099
16	0.1338243485	0.9900990099
17	0.1268455759	1
18	0.1202092527	1
19	0.1109617186	1
20	0.10114662	1
21	0.09644398509	1
22	0.09246033369	1
23	0.08737544986	1
24	0.08631279604	1
25	0.0821891063	1
26	0.07874053574	1
27	0.07426088372	1
28	0.07253387603	1
29	0.07032581821	1
30	0.06812345408	1
31	0.06782478121	1
